Timestamp[s],Druck_links[N/mm2],Druck_rechts[N/mm2],Kraft_links[N],Kraft_rechts[N],Thermocouple_WS[°C],Waermestromsensor[µV],Weg_links[mm],Weg_rechts[mm]
0.19999933799891778,0.015725929459889036,0.063912820574532,6.255856513977051,25.42485237121582,245.67515563964844,363.294677734375,25.66985511779785,20.903867721557617
0.39999934749840804,0.01570249905744232,0.14069561707488892,6.246535778045654,55.96944808959961,245.6785430908203,1392.6551513671875,22.383012771606445,17.93100357055664
0.5999993569978983,0.01529270854662934,0.266113427468561,6.083518981933594,105.8613052368164,245.6923065185547,2878.29931640625,19.08113670349121,16.279449462890625
0.7999993664973886,0.01496038568043325,0.3297301046334401,5.951319217681885,131.16835021972656,245.70094299316406,3414.078125,15.767595291137695,15.81992244720459
0.9999993759968788,0.020689346226619974,0.3396700132592378,8.230329513549805,135.12249755859375,245.69073486328125,3215.47216796875,12.4650297164917,15.79677963256836
1.199999385496369,0.1144676531043806,0.3423425295288608,45.53582763671875,136.18563842773438,245.6740264892578,2907.017578125,9.644679069519043,15.819104194641113
1.3999993949958593,0.24331489671915738,0.3484835556615163,96.79193115234375,138.62857055664062,245.6648712158203,2694.529541015625,8.207401275634766,15.82286548614502
1.5999994044953496,0.2980522484722795,0.34739562359280607,118.56673431396484,138.19578552246094,245.6577911376953,2542.7578125,7.854809284210205,15.821615219116211
1.7999994139948399,0.2477904236313696,0.28460608626255895,98.57231903076172,113.21778106689453,245.65220642089844,2394.243408203125,7.862163066864014,15.833712577819824
1.9999994234943301,0.14504733576036988,0.16726948843867825,57.700584411621094,66.5406723022461,245.64862060546875,2216.826904296875,7.902453422546387,15.864152908325195
2.1999994329938204,0.1518297654141605,0.16647594972142418,60.3986701965332,66.2249984741211,245.6439666748047,2107.975830078125,7.904594421386719,15.872776985168457
2.3999994424933107,0.2204226971014468,0.23813988353239735,87.68529510498047,94.73328399658203,245.63714599609375,2074.888427734375,7.889430999755859,15.86111831665039
2.599999451992801,0.27587526167948767,0.29680380969618575,109.74461364746094,118.07009887695312,245.6298065185547,2056.645263671875,7.875855445861816,15.84819507598877
2.799999461492291,0.31852430459638087,0.34183575103251695,126.71062469482422,135.98403930664062,245.6194610595703,2035.2479248046875,7.863933086395264,15.837876319885254
2.9999994709917814,0.35469274296492587,0.3815495100375526,141.09861755371094,151.78237915039062,245.6082000732422,2016.2481689453125,7.851387023925781,15.82673168182373
3.1999994804912717,0.3970298056441554,0.4277512382194028,157.94052124023438,170.1616668701172,245.598388671875,2000.202392578125,7.8360419273376465,15.809821128845215
3.399999489990762,0.4385602113616751,0.4727722476853542,174.46153259277344,188.07125854492188,245.5897674560547,1986.300537109375,7.819201469421387,15.789629936218262
3.599999499490252,0.4819119050419103,0.4975395699327208,191.70706176757812,197.923828125,245.58360290527344,1966.87060546875,7.799266815185547,15.777412414550781
3.7999995089897425,0.5194927218848061,0.5089728487672798,206.6569061279297,202.4720458984375,245.574462890625,1943.4000244140625,7.779303550720215,15.772144317626953
3.9999995184892327,0.5412023808082213,0.524249965014578,215.29312133789062,208.5493621826172,245.56776428222656,1920.5906982421875,7.766991138458252,15.764261245727539
4.199999527988723,0.55833588207577,0.547434774362788,222.10891723632812,217.77239990234375,245.5656280517578,1901.4969482421875,7.759250164031982,15.751258850097656
4.399999537488213,0.5785144270695336,0.5737685760994208,230.13604736328125,228.2481231689453,245.55418395996094,1885.283203125,7.751502990722656,15.735973358154297
4.5999995469877035,0.5902764291642854,0.5951572599655088,234.81503295898438,236.75665283203125,245.53762817382812,1868.7274169921875,7.745213508605957,15.722373962402344
4.799999556487194,0.5934192076474396,0.6185491227744564,236.06524658203125,246.0620574951172,245.52806091308594,1853.4625244140625,7.742138385772705,15.707265853881836
4.999999565986684,0.5938873218443348,0.63213977746039,236.25146484375,251.46849060058594,245.5183868408203,1836.4307861328125,7.7410054206848145,15.695757865905762
5.199999575486174,0.5954753582148412,0.6353122446020494,236.88319396972656,252.7305145263672,245.5052032470703,1816.607177734375,7.7387566566467285,15.690141677856445
5.399999584985665,0.5971126455382166,0.6356228631505956,237.53451538085938,252.8540802001953,245.49411010742188,1796.1617431640625,7.735922813415527,15.687946319580078
5.599999594485155,0.5979601148160111,0.6374462991299471,237.87164306640625,253.57945251464844,245.48529052734375,1776.10009765625,7.734233379364014,15.685819625854492
5.799999603984645,0.5981499074287805,0.6393594915187328,237.9471435546875,254.3405303955078,245.47518920898438,1756.2598876953125,7.733305931091309,15.6830415725708
5.999999613484135,0.5980599592321466,0.640155101537743,237.91136169433594,254.6570281982422,245.4596710205078,1736.8328857421875,7.732334613800049,15.680184364318848
6.199999622983626,0.597884358872151,0.640228747822407,237.8415069580078,254.6863250732422,245.4472198486328,1718.3487548828125,7.731069564819336,15.677374839782715
6.399999632483116,0.5978723146360132,0.6401266019598757,237.8367156982422,254.64569091796875,245.44021606445312,1700.670166015625,7.729392051696777,15.674324989318848
6.599999641982606,0.5999400875077134,0.6400824525465173,238.65928649902344,254.6281280517578,245.4359893798828,1683.0357666015625,7.726298809051514,15.671740531921387
6.799999651482096,0.6032284708328387,0.6403498039028234,239.96742248535156,254.73448181152344,245.42967224121094,1665.2801513671875,7.722412109375,15.670294761657715
6.999999660981587,0.6054587258200786,0.6438165876810591,240.85462951660156,256.11358642578125,245.41932678222656,1648.89208984375,7.719423294067383,15.667932510375977
7.199999670481077,0.6064610824403069,0.6491840976801035,241.2533721923828,258.2488098144531,245.4060516357422,1634.6583251953125,7.717514991760254,15.662871360778809
