,FEAT_A_probe,FEAT_Delta_t_angl[s],FEAT_Delta_t_anw[s],FEAT_F_angl[N],FEAT_F_anw[N],FEAT_T_Heiz[°C],FEAT_Thermocouple_0[°C],FEAT_WS0[µV],FEAT_WS_Int[µVs],FEAT_WS_angl[µV],FEAT_WS_anw[µV],FEAT_WS_delta_t_max[s],FEAT_WS_max[µV],FEAT_s0[mm],FEAT_s_angl[mm],FEAT_s_tot[mm],FEAT_t_angl[s],FEAT_t_anw[s],LABEL_weld_factor
0,405.0,7.400001006945967,17.80000084545464,55.30645555319245,18.82402940229936,210,215.7579650878906,656.0726318359375,74419.71701462631,1268.7568359375,843.7402954101562,0.6000000284984708,3500.8388671875,22.17993354797363,16.57574272155762,16.62351989746094,19.40000092145056,147.4000070011243,1.0
1,409.3467,7.6000010734424,18.00000085495412,54.619304895401,17.68646239716074,210,215.4681854248047,637.6483154296875,76104.63304328841,1246.022705078125,846.24658203125,0.800000037997961,3253.413818359375,22.32429313659668,16.42196846008301,16.46204948425293,19.20000091195107,147.2000069916248,1.0
2,402.927,7.400001044943929,17.60000083595514,55.29803085327148,18.25191057665238,210,215.7118377685547,636.0340576171875,76209.91517211882,1240.57861328125,836.8173217773438,0.800000037997961,2988.8115234375,21.86433029174805,16.46196937561035,16.51470947265625,19.40000092145056,147.6000070106238,1.0
3,405.5547,7.000001738406716,17.20000081695616,56.57289394378662,18.24686261769888,210,215.8729705810547,635.0971069335938,77964.27036391635,1253.61376953125,844.119384765625,0.800000037997961,3862.060302734375,24.69524765014648,16.58473587036133,16.63900566101074,20.00000094994903,148.0000070296228,1.0
4,405.1825,7.800000892952085,20.00000094994903,54.98663524786631,18.80558273483571,208,215.3326873779297,667.1295776367188,74520.234221238,1272.278686523438,854.5034790039062,0.800000037997961,3350.6318359375,23.78627967834473,16.29763412475586,16.32385635375977,19.20000091195107,145.2000068966299,1.0
5,405.246,7.000000997446477,20.00000094994903,56.11955245817551,18.19385940772443,208,213.4205780029297,622.2035522460938,76629.20704674949,1227.60546875,822.7901000976562,0.800000037997961,3520.70068359375,21.9750804901123,16.31755447387695,16.37296104431152,19.80000094044954,145.2000068966299,1.0
6,409.2444,10.00000105444342,19.20000091195106,54.6936663459329,18.2475711508973,208,213.4799652099609,618.0043334960938,76386.19882667596,1216.158813476562,827.9622192382812,0.800000037997961,3249.82080078125,24.90803718566895,16.35105895996094,16.38142776489258,17.00000080745667,146.0000069346279,1.0
7,403.7493,6.400000902451575,19.00000090245157,56.89801451739143,19.37664527475589,208,212.4896850585938,594.2381591796875,79903.9697665066,1189.018432617188,820.1679077148438,0.800000037997961,3802.176025390625,23.27158546447754,16.37847900390625,16.42278861999512,20.40000096894801,146.2000069441274,1.0
8,404.613,5.400000835955144,17.80000084545463,55.99486848349883,18.84867496025272,208,213.0524444580078,606.4489135742188,77326.74834093628,1228.101196289062,821.019287109375,0.800000037997961,3239.046875,23.38100242614746,16.37125587463379,16.40879440307617,21.40000101644546,147.6000070106238,1.0
9,405.711,8.00000109244138,19.40000092145056,54.69940388456304,18.87056464939327,196,203.7464141845703,600.3232421875,71538.34989400991,1167.110595703125,780.189697265625,0.800000037997961,2932.4306640625,23.7993221282959,16.2764835357666,16.31275367736816,18.80000089295208,145.6000069156289,1.0
10,402.5494,6.800000978447496,18.20000086445362,57.06277885822335,19.21313103903895,196,201.9433746337891,562.6130981445312,72985.88445773353,1146.614624023438,750.2919311523438,0.800000037997961,3459.03955078125,23.28143692016602,16.52709579467773,16.61962699890137,19.80000094044954,147.2000069916248,1.0
11,405.6642,6.400000978447498,16.80000079795718,57.82694349101946,20.01738743640663,196,201.6776885986328,542.3782348632812,74758.6068776556,1133.146118164062,745.0358276367188,0.800000037997961,3129.078857421875,22.96765327453613,16.28005790710449,16.33151435852051,20.40000096894801,148.4000070486218,1.0
12,403.7286,7.000001272931694,18.00000085495413,57.20561195373535,19.99462269181791,196,201.6277465820312,536.6856689453125,76002.38636935384,1087.764770507812,747.2705688476562,0.800000037997961,3818.27001953125,24.21950531005859,16.1949577331543,16.26537132263184,20.00000094994903,147.2000069916248,1.0
13,395.7951,7.00000105444342,17.40000082645565,57.87160877227783,19.71512024328415,196,201.6175079345703,535.784912109375,75400.5456749864,1090.936279296875,744.7146606445312,0.800000037997961,3781.391845703125,23.52230644226074,16.37956809997559,16.44568061828613,20.00000094994903,147.8000070201233,1.0
14,406.3227,7.000001063942909,17.40000082645565,56.9886984006323,20.06576238691565,186,192.9094085693359,519.6449584960938,68459.92520433561,1056.00390625,703.7837524414062,0.800000037997961,2772.149658203125,24.73209762573242,16.17851829528809,16.27640724182129,19.80000094044954,147.8000070201233,1.0
